Count	Fit_Output	�..Protocol.Name	Sample.ID	Sample.Data.Type	AC50..uM.	CC.v2	Efficacy	Max.Resp	Structure	Activity.Rank	Metabolic.Stability..m.	Permeability..1e.6.cm.sec.	Solubility..ug.ml.	Drug.Name	Assay.Plate.ID	Supplier.ID	Supplier	Library	Log.AC50..M.	Row.Index	Ligand.Efficiency	Col.Index	Sample.Name	Alias	CC.v1	Tox.Flag	Target.ID	Fragments	Smiles.Can	Smiles.Unique	LEC	BEI	SEI	Data.Range	Inf.Activity	Hill.Coef	PValue	R2	AC50_2..uM.	Ncgc.Unique.ID	Log.AC50.2	Hill.Coef.2	Fraction	Sample.ID2	Tox21.ID	Zero.Activity	User.Flag	Max.Read1	Ic50	Max.Data	Min.Data	AUC	AUC.Fit	Cmpd.Plate.ID	Comment	Log.AC50.	Log.AC50..1	Inf.Activity.	Inf.Activity..1	Custom.1	Custom.2	NCGC.Unique.ID	Mapping.ID	Drug.ID	Assay.Name	Hash.Key.24.	MLSMR.Compound.Class	Primary.MOA	Origin	Solvent	Salt.Code	Purity	Purity.Rating	MW	PubChem.SID	CAS.	Gene.Symbol	Gene.ID	Tanimoto	Layer.Index	Curve.Class3	Data.Points	Ins.Date	Mask.No	Sar	Log.Dye.Conc	Report.Flag	Assay.Protocol.ID	Mask.Flags	Sample.Replicate	Plate.Replicate	Measure.Time	Replicate.IDs	Data.Mode	Assay.Outcome	Phenotype	Activity.Score	Confirmation.Flag	Control.Flag	Conc.ID	Experiment.Set	Team	Scientist	Data0	Data1	Data2	Data3	Data4	Data5	Data6	Data7	Data8	Data9	Data10	Data11	Data12	Data13	Data14	Data15	Data16	Data17	Data18	Data19	Data20	Data21	Data22	Data23	Data24	Lychi.L3	Lychi.L4	Sample.Data.ID
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00183831-01	Nluc100	20.59616769	2.1	136.3982436	140.4176071	O=C1O[C@H]2[C@@H](OC(C)=O)C(=O)O[C@H]2[C@@H]1OC(C)=O					"Aceglatone;aceglatone monosodium salt;CIPLUS_211093;2,5-di-o-acetyl-d-glucaro-1,4:6,3-dilactone;aceglatonum;Aceglatona;ACEGLATONE;LS-71328;glucaron;aceglatone;2,5-di-O-acetyl glucaro-(1,4)-(6-3)-dilactone;Glucaron;Aceglatonum;Glucaric acid, 1,4:6,3-dilactone, diacetate, D-;diacetyl glucaro-(1,4)-(6-3)-dilactone;"		PH-NIH-183676	Pharmaron	2016_NPACT_04	-4.686213581	17	0.357359048	10	Aceglatone		2.1				CC(=O)O[C@H]1[C@@H]2OC(=O)[C@H](OC(C)=O)[C@@H]2OC1=O	CC(=O)O[C@H]1[C@@H]2OC(=O)[C@H](OC(C)=O)[C@@H]2OC1=O		18.14381505	4.450345281	130.2906413	153.336027	2.786771214	0.003619695	0.974384839		1869417					Tox21_113332	16.93778337			15.9	140.4176071	10.12696581	136.805196	136.3404878									NM1KVA2C7B8S	ZOZKYEHVNDEUCO	7464216;	Alpha-1 antitrypsin	IslnFmsNSsZyuAiGAk							A	258.2	144206883	642-83-1				0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173742954	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	15.64658557	17.03055349	10.12696581	32.46417491	10.38074706	30.08952757	140.4176071																			NMZK3CSVKD1	NM1KVA2C7B8S	225955234
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00262376-01	Nluc100	1.835635378	-2.2	-71.13512329	-48.12311372	C1C[C@H](CN1)NC2=CC=CC(=N2)C3=CN=C4C=CC(=C[N]34)C5=C[NH]N=C5		5.7	<1.5	40.13768			JKJ21-005	NCGCChem	2016_NPACT_04	-5.736213581	31	0.302835773	42	NCGC00262376		-2.2							16.60259137	6.547441594	53.16398774	-60.63512329	0.4	0.000223719	0.993833436		2827474						10.5			88	5.04087402	-48.12311372	-68.1217762	-67.96935814									AGFKBRX6633B	YERJPPBISXRGBC		Alpha-1 antitrypsin	BJbXMbdqgGiWuzkwiy		Flt3/IRAK Inhibitor			TFA			345.4011	174006421	n	FLT3	2322		0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173745992	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	5.04087402	3.08903752	-5.0263752	-14.51157423	-25.94685824	-34.45831765	-48.12311372																			AGQ4GSUYAQF	AGFKBRX6633B	225954558
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00351479-01	Nluc100	16.36011753	-2.2	-47.47250142	-22.99284073	[O-][S+](=O)(N[C@H](CC1=CC=CC(=C1)C(F)(F)F)C(=O)N2CCCC2)C3=CC4=C(CNCC4)C(=C3)F							(R)-PFI-2	SGC	2016_NPACT_04	-4.786213581	26		9	(R)-PFI-2		4								5.657462861	42.51740726	-31.8431496	1.287561	0.010488298	0.955056125								15.62935182				19.52456653	-22.99284073	45.51847612	46.08481817									ZAA1YP2LHJG4	ZIXUTXPZCOOMCZ		Alpha-1 antitrypsin	vtFCKBJILZERQVulpy		Potent and selective SETD7 Inhibitor. Inhibits YAP nuclear translocation and function following activation of the Hippo signaling pathway in MCF7 cells.						499.522	363677753		SETD7	80854		0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173744809	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	18.90432108	19.52456653	13.35137539	10.75313917	10.72168134	1.28174736	-22.99284073																			ZANMJ42GLJA	ZAA1YP2LHJG4	225955134
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00183856-01	Nluc100	9.19997017	-2.2	-55.51174146	-46.85204998	O=C(Oc1ccccc1)CCCCCCCCC#CI					"Phenyliodoundecynoate;PHENYLIODOUNDECYNOATE;CIPLUS_3885239;CIPLUS_3845000;10-UNDECYNOIC ACID, 11-IODO-, PHENYL ESTER;11-IODOUNDECYNOIC ACID PHENYL ESTER;002020259;"		PH-NIH-102558	Pharmaron	2016_NPACT_04	-5.036213581	29	0.345644264	30	Phenyl 11-iodo-10-undecynoate		-2.2				IC#CCCCCCCCCC(=O)Oc1ccccc1	IC#CCCCCCCCCC(=O)Oc1ccccc1		13.10313174	19.07656659	57.10718518	-50.51174146	1.625897691	0.001657323	0.982911455		1974053					Tox21_113254	5			154	10.2551352	-46.85204998	-18.29856941	-18.72612436									JLZ98KLSPXBD	YXYXRFVXKCHITA	7350294;	Alpha-1 antitrypsin	RUQYnuEoFIMKelgnCX							A	384.3	144206805	2020-25-9				0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173745446	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	10.2551352	3.92249386	2.19211713	2.3557472	1.39547264	-22.25063253	-46.85204998																			JL8W2XZWPHZ	JLZ98KLSPXBD	225954655
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00031503-02	Nluc100	18.35635378	2.2	46.45351764	41.01967429	OC1=CC=C(CNC2=CC=CC=C2F)C3=CC=CN=C13		3.69553	34.03	4.39729			BTM05-061-D3	NCGCChem	2016_NPACT_04	-4.736213581	9	0.325054732	38			2.2							17.64704806	10.46677034	41.82759889	49.30124823	1.66043581	0.010248195	0.955614846		2199058						2.847730591				41.01967429	-0.8079246	38.36485579	36.67390454									65BW7PYYF6W1	IBWIAHQQJVGIDZ		Alpha-1 antitrypsin	emjeNXjrPwntNixDkR					TFA			268.3	85736322					0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173741582	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	-0.8079246	2.70271287	5.06602005	8.82788539	2.84854582	13.79812225	41.01967429																			65DCC2NVK2B	65BW7PYYF6W1	225954921
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00263271-01	Nluc100	16.36011753	-2.1	-102.5150892	-84.99867252	COC1=CC=CC(=C1/C2=N/CC3=C(N=C(NC4=CC(=C(C=C4)C(O)=O)OC)N=C3)C5=CC=C(Cl)C=C25)F							S1133	Selleck	2016_NPACT_04	-4.786213581	21	0.177560173	48	Alisertib	MLN8237 (Alisertib);MLN-8237??; Alisertib;Alisertib	-3							9.221565054	4.396668731	103.3364444	-90.63139814	2.720221214	0.004672329	0.970726572		2835337						11.8836911			17.7	18.33777187	-84.99867252	5.323629526	5.97976875									7UQ99754HQWF	ZLHFILGSQDJULK		Alpha-1 antitrypsin	ezXtJULCrEWHWSTUWy		Aurora-A Inhibitor						518.924	137276087	1028486-01-2	AURKA	6790		0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173744004	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	15.68652915	9.03567116	-0.58483629	18.33777187	15.43864058	-6.17608217	-84.99867252																			7UPATKZU5MQ	7UQ99754HQWF	225954726
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00351472-01	Nluc100	20.59616769	2.2	87.43568554	70.08812645	COC1=CC=C(CCC2=NC3=C(C=CC(=C3)C4=C(C)ON=C4C)[N]2CC(C)N5CCOCC5)C=C1Cl							SGC CBP30	SGC	2016_NPACT_04	-4.686213581	18		39	SGC-CBP30		2.2								7.138177579	72.18943132	91.69517657	1.34431	0.00660197	0.964879712								4.259491024			23.6	70.08812645	-2.10130487	66.50329711	63.24202529									4PFB5VYPJTH8	GEPYBHCJBORHCE		Alpha-1 antitrypsin	ZgRHMpMqOmtnQCpLtY		Histone acetyltransferase p300 Inhibitor						509.04	363677746					0		7	57:59.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173743346	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	-2.10130487	5.5028664	12.53857377	8.07168626	8.06541176	24.81972236	70.08812645																			4PPHUJ8G9TF	4PFB5VYPJTH8	225955166
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00346743-01	Nluc100	2.310928024	2.1	245.4631045	184.3415424	CCN(CC)CC1=CC2=C(C=C1)C=C(COC(=O)NC3=CC=C(C=C3)C(=O)NO)C=C2							S2170	Selleck	2016_NPACT_01	-5.636213581	12	0.249563437	46	Givinostat hydrochloride	ITF2357 (Givinostat)	2.1							13.36898002	6.113029914	178.7351284	231.1642942	0.4	0.005172658	0.969116556		2912000						-14.29881028			0.0925	184.3415424	5.60641397	316.6074683	319.536153									LXP6Q5RN575Q	YALNUENQHAQXEA		Alpha-1 antitrypsin	nwNLRYdfPAKYFrKgcI		HDAC Inhibitor						421.4889	174006370		HDAC1	3065		0		7	58:08.0	0				105634	0 0 0 0 0 0 0	1	1	57:44.0								173749730	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	6.04120667	5.60641397	35.05805859	68.21494159	115.4254439	120.0347743	184.3415424																			LXWRU5SL8LP	LXP6Q5RN575Q	225956211
	1	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00183830-01	Active	10.32253631	2.1	137.6769743	127.5580623	O=C(OC)C1=C(C)NC(COC(N)=O)=C(C1c2cccc(Cl)c2Cl)C(=O)OC(C)C					"CIPLUS_208006;NPK 1886;isopropyl methyl 2-carbamoyloxymethyl-6-methyl-4-(2,3-dichlorophenyl)-1,4-dihydropyridine-3,5-dicarboxylate;lemildipine;Lemidipine;Lemildipine;LS-131203;LEMILDIPINE;NB-818;NPK-1886;CIPLUS_701996;NB 818;lemildipinum;"		PH-NIH-152804	Pharmaron	2016_NPACT_04	-4.986213581	25	0.228141783	34	Lemildipine		2.1				COC(=O)C1=C(C)NC(COC(N)=O)=C(C1c1cccc(Cl)c1Cl)C(=O)OC(C)C	COC(=O)C1=C(C)NC(COC(N)=O)=C(C1c1cccc(Cl)c1Cl)C(=O)OC(C)C		10.90111495	4.259900539	126.7976064	144.6508427	1.21	0.00037845	0.991951888		2235264					Tox21_113289	6.97386835			6.09	127.5580623	0.76045596	134.5473282	135.7435333									83ZCAAC1W8DX	WTOVRSWDBLIFHU	7271630;	Alpha-1 antitrypsin	hLAnWaZkFEUOlGaqny		Voltage-gated calcium channel Blocker					A	457.3	144206840	94739-29-4				0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173744690	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	0.76045596	12.27558473	3.21917385	10.53135288	25.84519873	69.47682053	127.5580623																			831TGA315BZ	83ZCAAC1W8DX	225954562
	0	alpha1-atz-U2OS-UZ11B-NPACT	NCGC00351570-01	Nluc100	25.9290389	2.2	80.69019626	76.10584809	COC(=O)C1=CC=NC(=C1)C2=CC(=CC=N2)C(=O)NC3=CC=C(C=C3)C4(N)CC4		>30	1290.94849	12.75544			GRB037-064_pk2	NCGCChem	2016_NPACT_04	-4.586213581	2		15			2.2								4.274197186	65.04119673	100.1943159	1.478741	0.031980003	0.916677517								19.50411967			25.9	76.10584809	11.06465136	130.8291375	124.6798014									F52NNR36ZGSW	ZNZRKTDISKQXSK		Alpha-1 antitrypsin	LfeWjDhCyQZhPbUgSv					TFA			388.4192	363677762					0		7	57:58.0	0				105634	0 0 0 0 0 0 0	1	1	31:27.0								173740119	alpha1-atz-U2OS-UZ11B-NPACT	ADST	BRAISTEDJC	24.5482198	16.41868634	27.61205966	11.06465136	28.23488248	33.15772201	76.10584809																			F5GK4LVJSC2	F52NNR36ZGSW	225954378
