PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,fluc-Phenotype,fluc-Potency,fluc-Efficacy,fluc-Analysis Comment,fluc-Activity_Score,fluc-Curve_Description,fluc-Fit_LogAC50,fluc-Fit_HillSlope,fluc-Fit_R2,fluc-Fit_InfiniteActivity,fluc-Fit_ZeroActivity,fluc-Fit_CurveClass,fluc-Excluded_Points,fluc-Max_Response,fluc-Activity at 0.0009730000 uM,fluc-Activity at 0.00292 uM,fluc-Activity at 0.00876 uM,fluc-Activity at 0.026 uM,fluc-Activity at 0.079 uM,fluc-Activity at 0.237 uM,fluc-Activity at 0.710 uM,fluc-Activity at 2.130 uM,fluc-Activity at 6.390 uM,fluc-Activity at 19.20 uM,fluc-Activity at 57.50 uM,nluc-Phenotype,nluc-Potency,nluc-Efficacy,nluc-Analysis Comment,nluc-Activity_Score,nluc-Curve_Description,nluc-Fit_LogAC50,nluc-Fit_HillSlope,nluc-Fit_R2,nluc-Fit_InfiniteActivity,nluc-Fit_ZeroActivity,nluc-Fit_CurveClass,nluc-Excluded_Points,nluc-Max_Response,nluc-Activity at 0.0009730000 uM,nluc-Activity at 0.00292 uM,nluc-Activity at 0.00876 uM,nluc-Activity at 0.026 uM,nluc-Activity at 0.079 uM,nluc-Activity at 0.237 uM,nluc-Activity at 0.710 uM,nluc-Activity at 2.130 uM,nluc-Activity at 6.390 uM,nluc-Activity at 19.20 uM,nluc-Activity at 57.50 uM
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.
RESULT_UNIT,,,,,,,,MICROMOLAR,PERCENT,,,MICROMOLAR,PERCENT,,,,,,,PERCENT,PERCENT,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,,MICROMOLAR,PERCENT,,,,,,,PERCENT,PERCENT,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24386635,16010133,Active,100,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00112056-01/229331418,,Inhibitor,0.306,-58.9415,100,Inhibitor,0.306,41.4596,,25,Complete curve; partial efficacy,-6.5143,1.1,0.8916,-46.5096,-5.05,-1.2,0 0 0 0 0 0 0 0 0 0 0,-44.3541,0,-18.1627,0,-11.3556,-14.3484,-20.9886,-31.9261,-50.4996,-38.9954,-47.8943,-44.3541,Inhibitor,0.306,69.4861,,68,Complete curve; partial efficacy,-6.5143,1.8851,0.9368,-75.5598,-6.0737,-1.2,0 0 0 0 0 0 0 0 0 0 0,-73.5289,0,-22.5336,0,4.7558,-20.8958,-25.9505,-72.1336,-75.6217,-69.0869,-75.9813,-73.5289
2,24398802,15999416,Active,96,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00108968-01/229331445,,Inhibitor,1.4503,-45.3687,96,Inhibitor,1.5337,39.8023,,22,Complete curve; partial efficacy,-5.8143,4.5045,0.7983,-29.4516,10.3507,-1.2,1 0 0 0 0 0 0 0 0 0 0,-41.1286,31.4652,3.685,0,25.8848,21.7823,0,9.6474,-21.9067,-27.7764,-19.3017,-41.1286,Inhibitor,1.3669,53.1817,,23,Complete curve; partial efficacy,-5.8643,4.9549,0.886,-41.8329,11.3489,-1.2,1 0 0 0 0 0 0 0 0 0 0,-49.6088,38.9825,-8.0757,9.176,17.5819,27.3685,8.6604,10.4174,-37.5317,-41.8561,-33.3951,-49.6088
3,24395911,16017964,Active,92,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121332-01/229331074,,Inhibitor,2.69705,-53.5434,92,Inhibitor,4.8499,56.6238,,22,Complete curve; partial efficacy,-5.3143,1.5579,0.9583,-57.7155,-1.0917,-1.2,0 0 0 0 0 0 0 0 0 0 0,-58.0837,7.8331,0,1.6225,-5.0476,-3.7968,-10.6678,-1.4864,-11.9041,-37.1128,-49.8779,-58.0837,Inhibitor,0.5442,47.233,,24,Complete curve; partial efficacy,-6.2643,4.9549,0.861,-44.133,3.0999,-1.2,0 0 0 0 0 0 0 0 0 0 0,-49.0031,1.6134,0,0,-0.637,0,16.3069,-36.1145,-26.6002,-61.6946,-38.8344,-49.0031
4,24406522,16028034,Active,92,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00131139-01/229331538,,Inhibitor,2.8916,-68.7346,92,Inhibitor,1.9308,47.6202,,23,Complete curve; partial efficacy,-5.7143,3.99,0.8417,-50.4703,-2.8501,-1.2,0 0 0 0 0 0 0 0 0 0 0,-57.2607,-4.0571,-2.0785,11.2405,0.4422,-15.2414,-19.3008,9.5655,-31.4726,-42.2559,-50.9009,-57.2607,Inhibitor,3.8524,82.868,,63,Complete curve; partial efficacy,-5.4143,1.6604,0.9437,-73.868,9,-1.2,1 0 0 0 0 0 0 0 0 0 0,-80.2085,41.129,0,15.579,16.378,0.0815,1.4705,17.4346,-18.3431,-48.9968,-59.7969,-80.2085
5,24414799,16034061,Active,92,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00139416-01/229331163,,Inhibitor,2.8916,-60.8578,92,Inhibitor,1.9308,40.8415,,23,Complete curve; partial efficacy,-5.7143,3.9295,0.8999,-41.8051,-0.9636,-1.2,0 0 0 0 0 0 0 0 0 0 0,-43.1104,0,7.9638,0,-2.2104,0.0491,-15.4863,4.0568,-26.0229,-34.5087,-46.672,-43.1104,Inhibitor,3.8524,76.9356,,63,Complete curve; partial efficacy,-5.4143,2.1211,0.8954,-76.0294,0.9062,-1.2,0 0 0 0 0 0 0 0 0 0 0,-78.6052,0,15.0654,17.3329,-6.9373,-4.9488,-22.1522,8.7505,-17.432,-57.6175,-69.8038,-78.6052
6,24389593,16012847,Active,90,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00115014-01/229331178,,Inhibitor,3.4335,-143.713,90,Inhibitor,3.4335,117.38,,86,Complete curve; high efficacy,-5.4643,1.331,0.9416,-126.77,-9.3904,-1.1,0 0 0 0 0 0 0 0 0 0 0,-112.524,0,-7.0342,-30.4872,-14.6949,-5.148,-20.9671,-2.7496,-47.8716,-98.4816,-117.38,-112.524,Inhibitor,3.4335,181.113,,89,Complete curve; high efficacy,-5.4643,2.3332,0.9304,-182.206,-1.0928,-1.1,0 0 0 0 0 0 0 0 0 0 0,-174.901,35.6202,-30.2187,8.1789,-25.2509,29.5092,-16.0837,-21.1492,-35.3533,-152.853,-182.938,-174.901
