Format,ncats_qhts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Log_Conc_M,-9.011761791,-8.534640544,-8.057519287,-7.580398031,-7.103276777,-6.626155522,-6.149034267,-5.671913012,-5.194791758,-4.717670503,-4.240549248,,,,,,,,,,,,,,,
Fit_Output,Protocol Name,Sample ID,Sample Data Type,AC50 (uM),CC-v2,Efficacy,Max Resp,Structure,Metabolic Stability [m],Permeability [1e-6 cm/sec],Solubility [ug/ml],Drug Name,Assay Plate ID,Supplier ID,Supplier,Library,Log AC50 (M),Ligand Efficiency,Sample Name,Alias,CC-v1,LEC,BEI,SEI,Data Range,Inf Activity,Hill Coef,PValue,R2,AC50_2 (uM),Log AC50 2,Hill Coef 2,Fraction,Sample ID2,Tox21 ID,Zero Activity,User Flag,Max Read1,Max Data,Min Data,AUC,AUC Fit,Cmpd Plate ID,Comment,Log AC50-,Log AC50+,Inf Activity-,Inf Activity+,Custom 2,Custom 1,NCGC Unique ID,Mapping ID,Drug ID,Assay Name,Hash Key(24),MLSMR Compound Class,Primary MOA,Origin,Solvent,Salt Code,Purity,Purity Rating,MW,PubChem SID,CAS#,Gene Symbol,Gene ID,Tanimoto,Layer Index,Data Points,Mask No,Log Dye Conc,Report Flag,Assay Protocol ID,Mask Flags,Sample Replicate,Plate Replicate,Measure Time,Replicate IDs,Data Mode,Assay Outcome,Phenotype,Activity Score,Confirmation Flag,Control Flag,Conc ID,Experiment Set,Team,Scientist,IC50 (uM),Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Sample Data ID
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00098431-01,fluc,12.182472,-1.1,-102.025,-104.338,COC1=CC2=C(C=CC=C2)C=C1C(=O)NC3=CC4=C(OC(=N4)C5=C(Cl)C(=CC=C5)Cl)C=C3,null,null,null,null,null,2152-0393,Sytravon,2016_CMTA_01,-4.9143,0.211,null,null,-1.1,null,10.605,7.624,121.583,-101.417,4.095,0,0.963,null,null,null,null,null,null,0.608,null,null,17.245,-104.338,-63.434,-66.768,null,null,null,null,null,null,null,null,CM89QW5KG85G,BSRVDYHIGDJGAI,null,cmt1a-fu,OScnlEldqMLdwFobEV,null,null,null,null,null,null,null,463.3,24272129,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190250435,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,12.099633,-8.417,17.245,9.355,-5.17,0.983,-5.267,2.455,-1.287,-11.307,-83.662,-104.338,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330772
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00098431-01,nluc,12.182472,-1.1,-162.155,-158.053,COC1=CC2=C(C=CC=C2)C=C1C(=O)NC3=CC4=C(OC(=N4)C5=C(Cl)C(=CC=C5)Cl)C=C3,null,null,null,null,null,2152-0393,Sytravon,2016_CMTA_01,-4.9143,0.211,null,null,5,null,10.605,7.624,188.86,-160.266,2.847,0,0.948,null,null,null,null,null,null,1.889,null,null,30.807,-158.053,-97.334,-101.079,null,null,null,null,null,null,null,null,CM89QW5KG85G,BSRVDYHIGDJGAI,null,cmt1a-fu,OScnlEldqMLdwFobEV,null,null,null,null,null,null,null,463.3,24272129,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190258036,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,9.22792,-6.977,2.417,30.807,-17.734,18.003,-12.092,-4.229,8.329,-21.054,-126.075,-158.053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331463
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00099287-01,fluc,7.68662,-1.1,-80.989,-76.399,CCCC[S+]([O-])(=O)C1=C(C#N)C(=CC(=N1)C2=CC=C(Br)C=C2)C3=CC=CC=C3,null,null,null,null,null,4378-0175,Sytravon,2016_CMTA_01,-5.1143,0.251,null,null,-1.3,null,11.229,6.449,98.238,-88.813,1.885,0.005,0.886,null,null,null,null,null,null,-7.824,null,null,4.553,-93.685,-112.105,-108.646,null,null,null,null,null,null,null,null,PMCZWHP556FP,CSJLMFMYODEAKJ,null,cmt1a-fu,QtxXGXiWVAWiinNFtQ,null,null,null,null,null,null,null,455.4,24272985,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190243472,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,8.791923,-1.799,-13.039,-12.874,0.268,4.553,-15.348,-24.616,-10.077,-31.094,-93.685,-76.399,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330932
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00099287-01,nluc,10.857639,-1.1,-95.656,-84.162,CCCC[S+]([O-])(=O)C1=C(C#N)C(=CC(=N1)C2=CC=C(Br)C=C2)C3=CC=CC=C3,null,null,null,null,null,4378-0175,Sytravon,2016_CMTA_01,-4.9643,0.243,null,null,5,null,10.899,6.26,118.625,-90.911,1.826,0.013,0.85,null,null,null,null,null,null,4.745,null,null,34.464,-84.162,-47.191,-47.982,null,null,null,null,null,null,null,null,PMCZWHP556FP,CSJLMFMYODEAKJ,null,cmt1a-fu,QtxXGXiWVAWiinNFtQ,null,null,null,null,null,null,null,455.4,24272985,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190251073,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,12.118281,0.043,0.945,-7.706,18.244,34.464,5.036,-20.038,0,-17.889,-69.992,-84.162,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331623
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00101833-01,fluc,15.336823,-1.1,-110.514,-112.935,CCCCCN1C(=N)N(CC(O)COC2=CC(=CC=C2)C)C3=CC=CC=C13,null,null,null,null,null,6738-0015,Sytravon,2016_CMTA_01,-4.8143,0.245,null,null,-1.3,null,13.097,7.812,133.41,-114.516,4.955,0.004,0.893,null,null,null,null,null,null,-4.002,null,null,20.475,-112.935,-86.628,-85.752,null,null,null,null,null,null,null,null,FYT45619JZZC,FZFXKVXUQPPZJU,null,cmt1a-fu,MSnQVdbRvFnxtyrXJV,null,null,null,null,null,null,null,367.5,24275531,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190249225,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,14.567805,4.405,-25.707,-6.561,-7.549,-24.908,20.475,-5.616,1.562,9.981,-89.074,-112.935,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330959
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00103921-01,fluc,13.668958,-1.1,-108.221,-108.597,[O-][S+](=O)(CCC(=O)NC1=CC=C(F)C(=C1)Cl)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3,null,null,null,null,null,C071-0171,Sytravon,2016_CMTA_01,-4.8643,0.215,null,null,-1.1,null,9.847,3.869,124.507,-109.466,3.297,0,0.966,null,null,null,null,null,null,-1.245,null,null,15.91,-108.597,-75.683,-74.434,null,null,null,null,null,null,null,null,K4KHWHF2THLS,OCEMFEXHGUCFAG,null,cmt1a-fu,jzdVZPqydkAZMuvMOp,null,null,null,null,null,null,null,493.9,24267266,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190246343,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,12.968836,0,0,-9.374,-7.156,15.91,-11.578,0,0,-9.859,-82.356,-108.597,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330882
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00103921-01,nluc,12.182472,-1.1,-139.686,-143.441,[O-][S+](=O)(CCC(=O)NC1=CC=C(F)C(=C1)Cl)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3,null,null,null,null,null,C071-0171,Sytravon,2016_CMTA_01,-4.9143,0.218,null,null,-1.1,null,9.948,3.908,159.039,-142.867,4.095,0,0.971,null,null,null,null,null,null,-3.181,null,null,15.599,-143.441,-110.247,-110.564,null,null,null,null,null,null,null,null,K4KHWHF2THLS,OCEMFEXHGUCFAG,null,cmt1a-fu,jzdVZPqydkAZMuvMOp,null,null,null,null,null,null,null,493.9,24267266,null,null,null,null,2,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190253944,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,10.473016,0,0,-17.556,-2.697,5.234,-7.312,-14.909,15.599,-15.265,-122.555,-143.441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331573
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00103923-01,fluc,6.850707,-1.1,-121.979,-101.649,COC1=CC=C(Cl)C=C1NC(=O)CC[S+]([O-])(=O)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3,null,null,null,null,null,C071-0172,Sytravon,2016_CMTA_01,-5.1643,0.222,null,null,5,null,10.206,3.826,146.132,-106.635,1.399,0.011,0.857,null,null,null,null,null,null,15.344,null,null,44.483,-101.649,-38.261,-41.704,null,null,null,null,null,null,null,null,9F376ZKHQP6M,RUXBUKSZEBGFSV,null,cmt1a-fu,QzqfavTzVpFZkSRQkx,null,null,null,null,null,null,null,505.9,24267268,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190247289,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,6.266777,-2.799,44.483,0,28.348,23.44,-20.103,27.406,-5.564,-44.225,-81.793,-101.649,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330866
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00103927-01,fluc,6.105699,-1.1,-89.18,-80.92,[O-][S+](=O)(CCC(=O)NC1=CC=C(OC(F)(F)F)C=C1)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3,null,null,null,null,null,C071-0176,Sytravon,2016_CMTA_01,-5.2143,0.211,null,null,-1.1,null,9.922,3.863,105.649,-81.257,2.188,0,0.957,null,null,null,null,null,null,7.924,null,null,24.729,-80.92,-47.88,-49.247,null,null,null,null,null,null,null,null,AN6UXK3YZDMF,JUTQXVFQWXXRDF,null,cmt1a-fu,GzXLANEIclRhZYytPq,null,null,null,null,null,null,null,525.4,24267272,null,null,null,null,0,11,0,null,null,104113,0 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190248257,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,7.568324,-0.104,0,11.641,24.729,7.432,-2.303,11.687,-0.824,-38.296,-73.942,-80.92,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229330857
1,cmt1a-syt-fu-manuscript-cr-C9F2sN,NCGC00103929-01,nluc,10.857639,-1.1,-190.866,-181.294,[O-][S+](=O)(CCC(=O)NC1=CC=C(Br)C=C1)C2=NC(=CC(=N2)C(F)(F)F)C3=CC=CS3,null,null,null,null,null,C071-0177,Sytravon,2016_CMTA_01,-4.9643,0.227,null,null,-1.1,null,9.539,3.948,204.833,-186.008,2.253,0,0.995,null,null,null,null,null,null,4.858,null,null,23.538,-181.294,-118.199,-116.219,null,null,null,null,null,null,null,null,LQRJ14XA1R6G,JSQOJUZUVVDQIM,null,cmt1a-fu,SsitpAGoFyfVaeYaAp,null,null,null,null,null,null,null,520.3,24267274,null,null,null,null,2,11,1,null,null,104113,1 0 0 0 0 0 0 0 0 0 0,1,1,12:47.0,null,null,null,null,null,null,null,190255946,cmt1a-syt-fu-manusc-npm,null,BRAISTEDJC,6.96321,23.538,0,0,0,7.797,13.035,0.288,6.869,-41.375,-143.836,-181.294,null,null,null,null,null,null,null,null,null,null,null,null,null,null,229331153
